,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
334,port macquarie,99,CD,1604281010,70,-7.03,29.76,72.05,3.78
335,middelburg,99,ZA,1604281057,75,-25.78,29.46,57.92,6.78
336,qianan,94,CN,1604281057,70,44.99,124.06,34.43,18.59
337,kununurra,96,AU,1604280488,41,-15.77,128.73,95.0,4.7
338,vardo,100,NO,1604280400,85,70.37,31.11,45.14,28.32
339,florianopolis,40,BR,1604280803,82,-27.61,-48.5,62.6,4.7
340,beasain,0,ES,1604281058,82,43.05,-2.2,60.01,5.82
341,kijang,0,KR,1604281058,77,35.24,129.21,59.0,8.05
342,kjollefjord,100,NO,1604281059,85,70.95,27.35,43.21,24.14
343,balfour,99,ZA,1604281059,88,-26.66,28.59,54.81,9.06
344,kolda,0,SN,1604281059,94,12.88,-14.95,77.0,3.33
345,sabha,0,LY,1604280669,63,27.04,14.43,59.61,9.06
346,bonavista,0,CA,1604281052,74,48.65,-53.11,37.99,5.82
347,carutapera,37,BR,1604281060,84,-1.2,-46.02,77.99,5.5
348,adrar,100,MR,1604281060,18,20.5,-10.07,77.41,9.75
349,zhuhai,100,CN,1604280812,78,22.28,113.57,77.0,13.87
350,cayenne,90,GF,1604280605,100,4.93,-52.33,78.8,2.24
351,namtsy,75,RU,1604281061,75,62.72,129.67,-20.2,2.24
352,bandarbeyla,0,SO,1604280677,77,9.49,50.81,76.24,17.54
353,saint-augustin,100,CA,1604281062,78,51.23,-58.65,38.43,18.21
354,edea,40,CM,1604281062,100,3.8,10.13,75.2,5.82
355,san martin de hidalgo,0,ML,1604280846,18,13.3,-4.9,78.13,6.93
356,lubango,28,AO,1604280685,72,-14.92,13.49,63.79,1.28
357,jalalabad,0,AF,1604281062,25,34.43,70.45,59.61,2.26
358,deh rawud,0,IR,1604281063,73,26.56,53.99,77.0,4.7
359,kamakwie,5,SL,1604281063,98,9.5,-12.23,73.06,2.13
360,necochea,13,AR,1604280701,66,-38.55,-58.74,57.99,10.0
361,acapulco,80,MX,1604281064,77,16.86,-99.89,80.82,5.79
362,yanam,20,IN,1604281064,88,16.73,82.22,77.0,3.36
363,hailey,5,US,1604281064,34,43.52,-114.32,48.2,2.91
364,loviisa,41,FI,1604281065,88,60.46,26.23,44.01,3.0
365,oktyabrskoye,62,RU,1604281065,93,43.06,44.74,51.8,8.95
366,outlook,54,CA,1604281065,45,51.5,-107.05,44.6,6.93
367,atambua,89,ID,1604281065,44,-9.11,124.89,87.62,3.85
368,tamandare,71,BR,1604281065,84,-8.76,-35.1,77.02,9.98
369,grand centre,1,US,1604281051,30,38.88,-109.5,53.6,5.82
370,zhireken,48,RU,1604281066,75,52.82,117.31,16.48,7.47
371,nuuk,9,GL,1604280739,92,64.18,-51.72,23.0,5.82
372,lugovoy,89,KZ,1604281067,52,42.95,72.76,41.94,2.55
373,kulu,2,TR,1604281067,68,39.1,33.08,40.95,4.52
374,hervey bay,1,US,1604281067,47,33.5,-93.78,57.2,3.36
375,ancud,0,CL,1604280717,87,-41.87,-73.82,52.0,2.24
376,talnakh,75,RU,1604280699,85,69.49,88.4,19.4,6.71
377,antigonish,100,CA,1604281068,83,45.62,-62.0,52.0,5.01
378,santa cruz,69,PH,1604281068,67,17.49,120.43,86.45,1.14
379,vila velha,99,PT,1604281069,95,42.03,-8.16,60.01,7.0
380,skjervoy,100,NO,1604281069,77,70.03,20.97,47.19,22.79
381,stornoway,37,GB,1604281069,93,58.21,-6.39,46.99,18.34
382,kangaatsiaq,100,GL,1604281070,93,68.31,-53.46,30.56,20.27
383,manjacaze,21,MZ,1604281070,90,-24.71,33.88,65.14,1.88
384,luganville,40,VU,1604281070,70,-15.53,167.17,84.2,11.41
