,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
354,kayes,0,ML,1604279866,78,14.0,-11.0,73.4,1.88
355,salalah,0,OM,1604279589,43,17.02,54.09,73.4,3.36
356,beloha,0,MG,1604279866,80,-25.17,45.05,66.61,16.13
357,korla,0,CN,1604279866,56,41.76,86.15,37.0,7.0
358,maxixe,100,MZ,1604279867,77,-23.86,35.35,70.25,6.55
359,guaraniacu,0,BR,1604279867,75,-25.1,-52.88,57.47,3.06
360,bubaque,0,GW,1604279580,77,11.28,-15.83,83.25,15.64
361,sorong,100,ID,1604279867,77,-0.88,131.25,83.07,6.64
362,manzanillo,100,CU,1604279868,83,20.34,-77.12,77.86,11.48
363,pimentel,0,PE,1604279776,77,-6.84,-79.93,62.6,17.22
364,sao felix do xingu,0,IN,1604279868,55,20.51,76.21,66.42,4.14
365,san jeronimo,0,ML,1604279702,17,13.3,-4.9,79.3,7.67
366,wajir,100,KE,1604279869,76,1.75,40.06,76.66,13.2
367,praya,20,CV,1604279869,83,14.92,-23.51,77.0,6.93
368,marsh harbour,100,GB,1604279869,96,53.65,-1.81,61.0,10.0
369,cap-aux-meules,100,CA,1604279870,87,47.38,-61.86,48.2,19.46
370,dalbandin,0,PK,1604279870,36,28.89,64.41,46.85,4.76
371,brae,100,GB,1604279870,81,60.4,-1.35,50.0,35.57
372,agadez,16,NE,1604279870,34,19.75,10.25,64.33,10.96
373,silifke,58,TR,1604279871,56,36.38,33.93,63.88,9.24
374,payo,98,ID,1604279871,80,-3.75,103.64,77.4,0.92
375,sabang,100,ID,1604279871,78,5.89,95.32,81.82,11.32
376,kozyatyn,100,UA,1604279871,89,49.71,28.83,42.84,11.23
377,jalingo,81,NG,1604279871,41,8.88,11.37,76.48,2.71
378,chimbote,100,PE,1604279872,88,-9.09,-78.58,60.46,6.2
379,strezhevoy,90,RU,1604279872,97,60.73,77.59,32.0,8.95
380,longyearbyen,0,SJ,1604279872,69,78.22,15.64,35.6,33.33
381,qasigiannguit,100,GL,1604279873,67,68.82,-51.19,19.4,6.93
382,solwezi,0,ZM,1604279873,64,-12.17,26.39,61.39,4.18
